# iteration  l2_NN  l2_FF  l2_mFF
2.910000e+04 2.115037e+00 3.654865e-01 2.404994e-03
2.920000e+04 2.049199e+00 3.651478e-01 1.047389e-03
2.930000e+04 2.058946e+00 3.648240e-01 2.747127e-03
2.940000e+04 2.046882e+00 3.643913e-01 1.888692e-03
2.950000e+04 2.051478e+00 3.640437e-01 1.918455e-03
2.960000e+04 2.071858e+00 3.637224e-01 1.026129e-03
2.970000e+04 2.091399e+00 3.633280e-01 1.170371e-03
2.980000e+04 2.090724e+00 3.629748e-01 2.233462e-03
2.990000e+04 2.100525e+00 3.627712e-01 1.012084e-03
3.000000e+04 2.100294e+00 3.623565e-01 1.439103e-03
3.010000e+04 2.067804e+00 3.622478e-01 2.386430e-03
3.020000e+04 2.082746e+00 3.619199e-01 2.778712e-03
3.030000e+04 2.078986e+00 3.616724e-01 3.500405e-03
3.040000e+04 2.100015e+00 3.612050e-01 2.206507e-03
3.050000e+04 2.107899e+00 3.607374e-01 1.024203e-03
3.060000e+04 2.106473e+00 3.608033e-01 1.403232e-03
3.070000e+04 2.101157e+00 3.603196e-01 1.853971e-03
3.080000e+04 2.116012e+00 3.601848e-01 1.404295e-03
3.090000e+04 2.113006e+00 3.597150e-01 2.164588e-03
3.100000e+04 2.130670e+00 3.596055e-01 1.091374e-03
3.110000e+04 2.136009e+00 3.591052e-01 1.887191e-03
3.120000e+04 2.123954e+00 3.587721e-01 8.491528e-04
3.130000e+04 2.155077e+00 3.586624e-01 3.585319e-03
3.140000e+04 2.173307e+00 3.584237e-01 2.544969e-03
3.150000e+04 2.181149e+00 3.580139e-01 2.050287e-03
3.160000e+04 2.168547e+00 3.577215e-01 1.009801e-03
3.170000e+04 2.170807e+00 3.572491e-01 8.405077e-04
3.180000e+04 2.147903e+00 3.573477e-01 1.344278e-03
3.190000e+04 2.146588e+00 3.570238e-01 1.971360e-03
3.200000e+04 2.132323e+00 3.568004e-01 1.641939e-03
3.210000e+04 2.147152e+00 3.565524e-01 1.272896e-03
3.220000e+04 2.161259e+00 3.561153e-01 7.598424e-04
3.230000e+04 2.151015e+00 3.559221e-01 2.389692e-03
3.240000e+04 2.157082e+00 3.557145e-01 6.137778e-03
3.250000e+04 2.140746e+00 3.553444e-01 1.147836e-03
3.260000e+04 2.194851e+00 3.548637e-01 1.623031e-03
3.270000e+04 2.209539e+00 3.547854e-01 4.549982e-03
3.280000e+04 2.202833e+00 3.545022e-01 1.470146e-03
3.290000e+04 2.184858e+00 3.542484e-01 1.920037e-03
3.300000e+04 2.198147e+00 3.540377e-01 2.222681e-03
3.310000e+04 2.218696e+00 3.536812e-01 1.258300e-03
3.320000e+04 2.218888e+00 3.533629e-01 3.039472e-03
3.330000e+04 2.191764e+00 3.530037e-01 1.709145e-03
3.340000e+04 2.188753e+00 3.527917e-01 8.952081e-04
3.350000e+04 2.185139e+00 3.526773e-01 1.998019e-03
3.360000e+04 2.165131e+00 3.522635e-01 1.072854e-03
3.370000e+04 2.173055e+00 3.519256e-01 2.214773e-03
3.380000e+04 2.190148e+00 3.518420e-01 1.294044e-03
3.390000e+04 2.180126e+00 3.513761e-01 1.742056e-03
3.400000e+04 2.168670e+00 3.512053e-01 5.345471e-04
3.410000e+04 2.163156e+00 3.509862e-01 9.477411e-04
3.420000e+04 2.152854e+00 3.507733e-01 2.543971e-03
3.430000e+04 2.159574e+00 3.505132e-01 1.037181e-03
3.440000e+04 2.178164e+00 3.501385e-01 7.940538e-04
3.450000e+04 2.166598e+00 3.496620e-01 1.284077e-03
3.460000e+04 2.165533e+00 3.495999e-01 1.081619e-03
3.470000e+04 2.154364e+00 3.493408e-01 1.775996e-03
3.480000e+04 2.144857e+00 3.491410e-01 4.155029e-03
3.490000e+04 2.173624e+00 3.486983e-01 1.935224e-03
3.500000e+04 2.164886e+00 3.484703e-01 9.960619e-04
3.510000e+04 2.171869e+00 3.482425e-01 1.706696e-03
3.520000e+04 2.208077e+00 3.479972e-01 2.059175e-03
3.530000e+04 2.223948e+00 3.477100e-01 2.653929e-03
3.540000e+04 2.230135e+00 3.474222e-01 1.416532e-03
3.550000e+04 2.271046e+00 3.472742e-01 1.965719e-03
3.560000e+04 2.248214e+00 3.470178e-01 6.821068e-04
3.570000e+04 2.241816e+00 3.466038e-01 1.470571e-03
3.580000e+04 2.244256e+00 3.463361e-01 1.442990e-03
3.590000e+04 2.237237e+00 3.461990e-01 1.129382e-03
3.600000e+04 2.244209e+00 3.458507e-01 2.763098e-03
3.610000e+04 2.242360e+00 3.456517e-01 1.731584e-03
3.620000e+04 2.240619e+00 3.453621e-01 1.190268e-03
3.630000e+04 2.235137e+00 3.450260e-01 2.490560e-03
3.640000e+04 2.215932e+00 3.448051e-01 3.099331e-03
3.650000e+04 2.221153e+00 3.445352e-01 8.796779e-04
3.660000e+04 2.224874e+00 3.443290e-01 7.450040e-04
3.670000e+04 2.237918e+00 3.439367e-01 1.817879e-03
3.680000e+04 2.245135e+00 3.437113e-01 1.964827e-03
3.690000e+04 2.243793e+00 3.433722e-01 2.714220e-03
3.700000e+04 2.226286e+00 3.432923e-01 7.113094e-04
3.710000e+04 2.234769e+00 3.429841e-01 1.736507e-03
3.720000e+04 2.245978e+00 3.425051e-01 1.171239e-03
3.730000e+04 2.258074e+00 3.424090e-01 7.889730e-04
3.740000e+04 2.246757e+00 3.422372e-01 1.133891e-03
3.750000e+04 2.238480e+00 3.421179e-01 1.049702e-03
3.760000e+04 2.237985e+00 3.417066e-01 1.553059e-03
3.770000e+04 2.232499e+00 3.414565e-01 1.131128e-03
3.780000e+04 2.211207e+00 3.411873e-01 1.420857e-03
3.790000e+04 2.215579e+00 3.410575e-01 2.252089e-03
3.800000e+04 2.212702e+00 3.406740e-01 1.476820e-03
3.810000e+04 2.213616e+00 3.405715e-01 5.265416e-04
3.820000e+04 2.221269e+00 3.404292e-01 8.992980e-04
3.830000e+04 2.232801e+00 3.402465e-01 1.573634e-03
3.840000e+04 2.226828e+00 3.399419e-01 6.706030e-04
3.850000e+04 2.231641e+00 3.395234e-01 1.571308e-03
3.860000e+04 2.220886e+00 3.394583e-01 1.719997e-03
3.870000e+04 2.224882e+00 3.392093e-01 1.244223e-03
3.880000e+04 2.231530e+00 3.389077e-01 6.694623e-04
3.890000e+04 2.220704e+00 3.387704e-01 1.652254e-03
3.900000e+04 2.227165e+00 3.384735e-01 1.162568e-03
3.910000e+04 2.202339e+00 3.382845e-01 6.427495e-04
3.920000e+04 2.206603e+00 3.379073e-01 5.552943e-04
3.930000e+04 2.202937e+00 3.377150e-01 1.818231e-03
3.940000e+04 2.209745e+00 3.374656e-01 8.415057e-04
3.950000e+04 2.216458e+00 3.371332e-01 1.677493e-03
3.960000e+04 2.218859e+00 3.369065e-01 8.753899e-04
3.970000e+04 2.214587e+00 3.366680e-01 2.472671e-03
3.980000e+04 2.198066e+00 3.365059e-01 5.322293e-04
3.990000e+04 2.196404e+00 3.363714e-01 7.517348e-04
