# iteration  l2_Plain_fixed  l2_Plain_adapt  l2_MFF_fixed  l2_MFF_adapt  l2_ST_MFF_fixed  l2_ST_MFF_adapt
2.290000e+04 1.014309e+00 8.292307e-01 1.040194e+00 1.011647e+00 1.025736e+00 1.029278e-02
2.300000e+04 1.014742e+00 8.291739e-01 1.040058e+00 1.011491e+00 1.025583e+00 1.002892e-02
2.310000e+04 1.013525e+00 8.290405e-01 1.040019e+00 1.011354e+00 1.025849e+00 9.719168e-03
2.320000e+04 1.013760e+00 8.282342e-01 1.039308e+00 1.011075e+00 1.024743e+00 9.441237e-03
2.330000e+04 1.013755e+00 8.280141e-01 1.042167e+00 1.011132e+00 1.026857e+00 1.002786e-02
2.340000e+04 1.013585e+00 8.278375e-01 1.039495e+00 1.010941e+00 1.026477e+00 8.864557e-03
2.350000e+04 1.013883e+00 8.275399e-01 1.040154e+00 1.010582e+00 1.026303e+00 9.397880e-03
2.360000e+04 1.014633e+00 8.275931e-01 1.038654e+00 1.010642e+00 1.025462e+00 8.899128e-03
2.370000e+04 1.014480e+00 8.271077e-01 1.041346e+00 1.010509e+00 1.027575e+00 8.899532e-03
2.380000e+04 1.012895e+00 8.266745e-01 1.039431e+00 1.010338e+00 1.025123e+00 9.060182e-03
2.390000e+04 1.013463e+00 8.264194e-01 1.040267e+00 1.010313e+00 1.025559e+00 8.108143e-03
2.400000e+04 1.013182e+00 8.261899e-01 1.041421e+00 1.010358e+00 1.026652e+00 9.551183e-03
