# iteration  loss_res  loss_bcs  loss_ut  l2_error  lambda_u  lambda_ut  lambda_r
1.820000e+04 9.245256e-02 3.003160e-05 9.506044e-04 9.762646e-03 6.461474e+03 3.275214e+01 1.031659e+00
1.830000e+04 2.373831e-01 5.779187e-05 7.314353e-03 1.094104e-02 6.302837e+03 2.961791e+01 1.035113e+00
1.840000e+04 8.582523e-02 4.604070e-05 4.859213e-04 9.849708e-03 6.174651e+03 3.348195e+01 1.030958e+00
1.850000e+04 1.023362e-01 5.367956e-05 7.131294e-04 1.069822e-02 6.299466e+03 3.235335e+01 1.032064e+00
1.860000e+04 7.373291e-02 2.635065e-05 3.875910e-04 1.014769e-02 5.805328e+03 2.902618e+01 1.035866e+00
1.870000e+04 1.689417e-01 4.349503e-05 2.992800e-03 9.617774e-03 6.235027e+03 3.327868e+01 1.031151e+00
1.880000e+04 7.880695e-02 2.753920e-05 5.601913e-04 1.023539e-02 6.248441e+03 3.144725e+01 1.033015e+00
1.890000e+04 6.783900e-02 2.919436e-05 1.596511e-03 9.889703e-03 6.204772e+03 3.268016e+01 1.031737e+00
1.900000e+04 1.359886e-01 4.355533e-05 6.832350e-04 1.006631e-02 6.110859e+03 2.976089e+01 1.034945e+00
1.910000e+04 6.559248e-02 2.432492e-05 5.171791e-04 9.442541e-03 6.154627e+03 3.171609e+01 1.032730e+00
1.920000e+04 1.131826e-01 3.885166e-05 5.312052e-04 9.631861e-03 6.495468e+03 3.281593e+01 1.031595e+00
1.930000e+04 1.054325e-01 2.637276e-05 3.798034e-04 9.721237e-03 6.189578e+03 3.227873e+01 1.032143e+00
1.940000e+04 1.073831e-01 4.746028e-05 1.203727e-03 9.946305e-03 6.218346e+03 3.203479e+01 1.032393e+00
1.950000e+04 1.183728e-01 3.946593e-05 6.949949e-03 1.024573e-02 6.448058e+03 3.425986e+01 1.030231e+00
1.960000e+04 8.898245e-02 3.309701e-05 8.695419e-04 9.354766e-03 6.365012e+03 3.089016e+01 1.033624e+00
1.970000e+04 5.582120e-02 2.097094e-05 1.306235e-03 9.507056e-03 6.203338e+03 3.152616e+01 1.032931e+00
1.980000e+04 5.806277e-02 3.470192e-05 1.725699e-03 1.006625e-02 6.494434e+03 3.278759e+01 1.031623e+00
1.990000e+04 6.846532e-02 4.868353e-05 3.109115e-04 1.042157e-02 6.391890e+03 3.253779e+01 1.031875e+00
2.000000e+04 1.298136e-01 3.535022e-05 5.517747e-03 9.621828e-03 6.142142e+03 3.082194e+01 1.033706e+00
