# iteration  l2_NN  l2_FF  l2_ST_FF
3.840000e+04 1.000082e+00 1.000051e+00 1.523531e-03
3.850000e+04 1.000001e+00 1.000000e+00 2.017174e-03
3.860000e+04 1.000003e+00 1.000000e+00 2.052702e-03
3.870000e+04 1.000024e+00 1.000017e+00 1.687382e-03
3.880000e+04 1.000002e+00 1.000001e+00 1.336367e-03
3.890000e+04 1.000026e+00 1.000016e+00 1.644093e-03
3.900000e+04 1.000007e+00 1.000001e+00 1.716401e-03
3.910000e+04 1.000019e+00 1.000015e+00 1.893310e-03
3.920000e+04 1.000074e+00 1.000067e+00 1.474392e-03
3.930000e+04 1.000005e+00 1.000007e+00 1.594360e-03
3.940000e+04 1.000015e+00 1.000010e+00 1.455725e-03
3.950000e+04 1.000003e+00 1.000000e+00 1.388922e-03
3.960000e+04 1.000024e+00 1.000026e+00 1.305177e-03
3.970000e+04 1.000064e+00 1.000043e+00 1.581212e-03
3.980000e+04 1.000069e+00 1.000053e+00 1.398273e-03
3.990000e+04 1.000014e+00 1.000009e+00 1.534600e-03
